_id,name,code,semester,year
67f2f754bb9244400ab2b028,Data Science,DSC,Spring,2025
67f2f754bb9244400ab2b03e,Health Management and Policy,HMP,Spring,2025
67f2f754bb9244400ab2b047,"Innovation, Technology&Design",ITD,Spring,2025
67f2f754bb9244400ab2b06e,Ophthalmolgy,OPH,Spring,2025
67f2f754bb9244400ab2b071,Physics,PHY,Spring,2025
67f2f754bb9244400ab2b079,Radiation Oncology,RON,Spring,2025
67f2f754bb9244400ab2b014,Biomedical Engineering,BME,Spring,2025
67f2f754bb9244400ab2b015,Biomedical Sciences,MBS,Spring,2025
67f2f754bb9244400ab2b017,Business,BUS,Spring,2025
67f2f754bb9244400ab2b027,Dance,DAN,Spring,2025
67f2f754bb9244400ab2b040,Hebrew,HEB,Spring,2025
67f2f754bb9244400ab2b042,Honors and Acad Enhancement,HON,Spring,2025
67f2f754bb9244400ab2b049,Intensive English Program,IEP,Spring,2025
67f2f754bb9244400ab2b072,Physiology/Biophysics,PHS,Spring,2025
67f2f754bb9244400ab2b030,Environmental Science & Policy,EVR,Spring,2025
67f2f754bb9244400ab2b03c,Greek,GRE,Spring,2025
67f2f754bb9244400ab2b078,RSMAS General,RSM,Spring,2025
67f2f754bb9244400ab2b086,Urban Studies,URB,Spring,2025
67f2f754bb9244400ab2b00f,Art History,ARH,Spring,2025
67f2f754bb9244400ab2b011,Atmospheric Science,ATM,Spring,2025
67f2f754bb9244400ab2b018,Business Law,BSL,Spring,2025
67f2f754bb9244400ab2b021,Clinical and Translational Inv,CTI,Spring,2025
67f2f754bb9244400ab2b02e,Electrical & Computer Engineer,ECE,Spring,2025
67f2f754bb9244400ab2b039,Geological Sciences,GSC,Spring,2025
67f2f754bb9244400ab2b04e,Journalism & Media Management,JMM,Spring,2025
67f2f754bb9244400ab2b053,Latin American Studies,LAS,Spring,2025
67f2f754bb9244400ab2b056,Management Science,MAS,Spring,2025
67f2f754bb9244400ab2b07f,Studio Music and Jazz,MSJ,Spring,2025
67f2f754bb9244400ab2b081,Teaching and Learning,TAL,Spring,2025
67f2f754bb9244400ab2b084,University Internship,UMI,Spring,2025
67f2f754bb9244400ab2b010,Arts and Sciences General,ASG,Spring,2025
67f2f754bb9244400ab2b01e,Cinematic Arts,CCA,Spring,2025
67f2f754bb9244400ab2b01f,Civil & Architectural Engineer,CAE,Spring,2025
67f2f754bb9244400ab2b025,Construction Management,CMA,Spring,2025
67f2f754bb9244400ab2b029,Department of Music Studies,MUS,Spring,2025
67f2f754bb9244400ab2b02d,Education and Psych Study,EPS,Spring,2025
67f2f754bb9244400ab2b041,History,HIS,Spring,2025
67f2f754bb9244400ab2b06b,Neuroscience Program,NEU,Spring,2025
67f2f754bb9244400ab2b073,Political Science,POL,Spring,2025
67f2f754bb9244400ab2b009,Africana Studies,AAS,Spring,2025
